cited_person_clean,wikidata_id,wikidata_label,cited_gender
Henri Ginoux,Q3131183,Henri Ginoux,male
Michel Cartelet,Q3309209,Michel Cartelet,male
Jean Roussel,Q108763860,Jean Roussel,male
Jean-Pierre Bechter,Q3168990,Jean-Pierre Bechter,male
Jean Giovannelli,Q3172307,Jean Giovannelli,male
Daniel Boulay,Q18744647,Daniel Boulay,male
Jean Blanc,Q107064037,Jean Blanc,male
Claude Birraux,Q2977020,Claude Birraux,male
. Raymond Barre,,,unknown
Lionel Jospin,Q187099,Lionel Jospin,male
Joël Hart,Q3187411,Joël Hart,male
Hubert Gouze,Q3142016,Hubert Gouze,male
François Leotard,Q1394083,François Léotard,male
Jacques Delors,Q153425,Jacques Delors,male
Georges Colombier,Q3102502,Georges Colombier,male
F. Mitter- Rand,,,unknown
Jean-Luc Reitzer,Q3167246,Jean-Luc Reitzer,male
Jean-Claude Bateux,Q3164828,Jean-Claude Bateux,male
Bruno Megret,Q993611,Bruno Mégret,male
Michel Berson,Q3309003,Michel Berson,male
Eric Raoult,Q3591330,Éric Raoult,male
Bernard Coulon,Q2897717,Bernard Coulon,male
Hervé Mariton,Q3134593,Hervé Mariton,male
Jean Bousquet,Q3170945,Jean Bousquet,male
De Benedetti,Q55226907,Emilio De Benedetti,male
Roger Couturier,Q21334403,Roger Couturier,male
Jeannou Lacaze,Q3176302,Jeannou Lacaze,male
Philippe Vasseur,Q3380839,Philippe Vasseur,male
Dumas Jean,,,unknown
Burnier Marthe,,,unknown
Renaud Jacques,Q75361417,Renaud Jacques Marie Joseph de Kergolay,male
Chollet Guy,,,unknown
Charles Caressa,,,unknown
M. Pompidou,,,unknown
Vincent Porelli,Q3559800,Vincent Porelli,male
Henry Delisle,Q3132724,Henry Delisle,male
Eric Hintermann,Q33102544,Eric Hintermann,male
Henry Berger,Q16641632,Henry Berger,male
Edouard Quemper,Q99674302,Édouard Quemper,male
François Leizour,Q18744822,François Leizour,male
M. Giscard D'Estaing,,,unknown
Roland Plaisance,Q3440214,Roland Plaisance,male
Georges Lemoine,Q106844497,Georges Lemoine,male
Marc Bécam,Q3287865,Marc Bécam,male
Guy Guermeur,Q3121817,Guy Guermeur,male
Pierre Garmendia,Q3385141,Pierre Garmendia,male
Jacques Cressard,Q3158601,Jacques Cressard,male
François Le Douarec,Q3085111,François Le Douarec,male
Michel Cointat,Q3309301,Michel Cointat,male
Charles Hernu,Q670809,Charles Hernu,male
Raymond Lory,Q3421010,Raymond Lory,male
Hubert Dubedout,Q3141993,Hubert Dubedout,male
Georges Bally,Q3102236,Georges Bally,male
Jean Desanlis,Q3171690,Jean Desanlis,male
Jacques Floch,Q3158891,Jacques Floch,male
Louis Darinot,Q3261650,Louis Darinot,male
Bernard Stasi,Q822724,Bernard Stasi,male
Claude Dhinnin,Q2977289,Claude Dhinnin,male
Georges Brice,Q3102379,Georges Brice,male
Guy Chatiliez,,,unknown
Roland Florian,Q3440060,Roland Florian,male
Jacques Mellick,Q3159545,Jacques Mellick,male
Maurice Andrieux,Q108836249,Maurice Andrieux,male
Maurice Pourchon,Q3301281,Maurice Pourchon,male
André Bord,Q517196,André Bord,male
Michel Debré,Q296386,Michel Debré,male
Marcel Rochaix,Q37999278,Marcel Rochaix,male
Maurice Blanc,Q3300436,Maurice Blanc,male
Rolande Perlican,Q3440325,Rolande Perlican,female
Georges Mesmin,Q3103191,Georges Mesmin,male
François Hilsum,Q41944709,François Hilsum,male
Paul Fromonteil,Q97143904,Paul Fromonteil,male
Marcel Mocœur,Q3289235,Marcel Mocœur,male
